Reference period,Automobiles,Motorcycles,Other land vehicles,Total
01-01-2017,103844,11,0,103855
02-01-2017,130736,35,0,130771
03-01-2017,84231,9,0,84240
04-01-2017,79621,20,0,79641
05-01-2017,84516,18,0,84534
06-01-2017,106217,16,0,106233
07-01-2017,122080,21,0,122101
08-01-2017,109364,16,0,109380
09-01-2017,63833,10,0,63843
10-01-2017,51055,18,0,51073
11-01-2017,55828,20,0,55848
12-01-2017,63648,1,0,63649
13-01-2017,95021,11,0,95032
14-01-2017,119454,13,0,119467
15-01-2017,108984,21,0,109005
16-01-2017,65306,8,0,65314
17-01-2017,52142,7,0,52149
18-01-2017,54908,12,0,54920
19-01-2017,62319,26,0,62345
20-01-2017,84958,74,0,85032
21-01-2017,107405,81,0,107486
22-01-2017,102759,26,0,102785
23-01-2017,59309,18,0,59327
24-01-2017,45566,11,0,45577
25-01-2017,57141,41,0,57182
26-01-2017,62639,25,0,62664
27-01-2017,87575,27,0,87602
28-01-2017,103607,25,0,103632
29-01-2017,96287,21,0,96308
30-01-2017,60328,20,0,60348
31-01-2017,51709,11,0,51720
01-02-2017,54132,23,0,54155
02-02-2017,63882,35,0,63917
03-02-2017,80534,24,0,80558
04-02-2017,93619,25,0,93644
05-02-2017,79939,19,0,79958
06-02-2017,53902,25,0,53927
07-02-2017,46952,19,0,46971
08-02-2017,49999,14,0,50013
09-02-2017,55694,34,0,55728
10-02-2017,78074,25,0,78099
11-02-2017,102924,27,0,102951
12-02-2017,92835,20,0,92855
13-02-2017,72277,11,0,72288
14-02-2017,62237,13,0,62250
15-02-2017,57984,23,0,58007
16-02-2017,67534,12,0,67546
17-02-2017,111808,45,0,111853
18-02-2017,143174,34,0,143208
19-02-2017,134379,32,0,134411
20-02-2017,133518,42,0,133560
21-02-2017,71743,26,0,71769
22-02-2017,71359,12,0,71371
23-02-2017,74636,27,0,74663
24-02-2017,96198,22,0,96220
25-02-2017,113250,23,0,113273
26-02-2017,107907,15,0,107922
27-02-2017,64535,16,0,64551
28-02-2017,63433,19,0,63452
01-03-2017,63203,16,0,63219
02-03-2017,71064,9,0,71073
03-03-2017,97792,14,0,97806
04-03-2017,120376,11,0,120387
05-03-2017,112145,20,0,112165
06-03-2017,69982,17,0,69999
07-03-2017,58459,50,0,58509
08-03-2017,63861,26,0,63887
09-03-2017,72941,29,0,72970
10-03-2017,97571,17,0,97588
